provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
ACEH,2018,13814,2700000.0,PERDESAANPERKOTAAN,MAKANAN,547668.0,MAKANAN,PERKOTAAN,SEPTEMBER,360318.0,1
ACEH,2018,13814,2700000.0,PERDESAANPERKOTAAN,MAKANAN,547668.0,MAKANAN,PERDESAAN,MARET,353915.0,1
ACEH,2018,13814,2700000.0,PERDESAANPERKOTAAN,MAKANAN,547668.0,MAKANAN,PERDESAAN,SEPTEMBER,362463.0,1
ACEH,2018,13814,2700000.0,PERDESAANPERKOTAAN,MAKANAN,547668.0,MAKANAN,PERDESAANPERKOTAAN,MARET,353291.0,1
ACEH,2018,13814,2700000.0,PERDESAANPERKOTAAN,MAKANAN,547668.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,361835.0,1
ACEH,2019,15065,2916810.0,PERDESAAN,MAKANAN,520759.0,MAKANAN,PERKOTAAN,MARET,364040.0,1
ACEH,2019,15065,2916810.0,PERDESAAN,MAKANAN,520759.0,MAKANAN,PERKOTAAN,SEPTEMBER,377620.0,1
ACEH,2019,15065,2916810.0,PERDESAAN,MAKANAN,520759.0,MAKANAN,PERDESAAN,MARET,372626.0,1
ACEH,2019,15065,2916810.0,PERDESAAN,MAKANAN,520759.0,MAKANAN,PERDESAAN,SEPTEMBER,387367.0,1
ACEH,2019,15065,2916810.0,PERDESAAN,MAKANAN,520759.0,MAKANAN,PERDESAANPERKOTAAN,MARET,370093.0,1
ACEH,2019,15065,2916810.0,PERDESAAN,MAKANAN,520759.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,384381.0,1
ACEH,2019,15065,2916810.0,PERKOTAAN,MAKANAN,639421.0,MAKANAN,PERKOTAAN,MARET,364040.0,1
ACEH,2019,15065,2916810.0,PERKOTAAN,MAKANAN,639421.0,MAKANAN,PERKOTAAN,SEPTEMBER,377620.0,1
ACEH,2019,15065,2916810.0,PERKOTAAN,MAKANAN,639421.0,MAKANAN,PERDESAAN,MARET,372626.0,1
ACEH,2019,15065,2916810.0,PERKOTAAN,MAKANAN,639421.0,MAKANAN,PERDESAAN,SEPTEMBER,387367.0,1
